User	Sample number	Sample name	Barcode	Lane	read1	read2
Jackie	20	GV02_CV24	85	1	E200013140_L01_SB-85_1.fq.gz	E200013140_L01_SB-85_2.fq.gz
Jackie	21	GV02_CV54	86	1	E200013140_L01_SB-86_1.fq.gz	E200013140_L01_SB-86_2.fq.gz
Jackie	22	GV02_CV63	62	1	E200013140_L01_SB-62_1.fq.gz	E200013140_L01_SB-62_2.fq.gz
Jackie	23	GV02_CV66	63	1	E200013140_L01_SB-63_1.fq.gz	E200013140_L01_SB-63_2.fq.gz
Jackie	24	GV04_EVC1	64	1	E200013140_L01_SB-64_1.fq.gz	E200013140_L01_SB-64_2.fq.gz
Jackie	25	GV04_EVC2	65	1	E200013140_L01_SB-65_1.fq.gz	E200013140_L01_SB-65_2.fq.gz
Jackie	26	GV04_EVC3	87	1	E200013140_L01_SB-87_1.fq.gz	E200013140_L01_SB-87_2.fq.gz
Jackie	27	GV04_EVC5	67	1	E200013140_L01_SB-67_1.fq.gz	E200013140_L01_SB-67_2.fq.gz
Jackie	28	GV04_EVC6	68	1	E200013140_L01_SB-68_1.fq.gz	E200013140_L01_SB-68_2.fq.gz
Jackie	29	GV04_CV3	69	1	E200013140_L01_SB-69_1.fq.gz	E200013140_L01_SB-69_2.fq.gz
Jackie	30	GV04_CV14	70	1	E200013140_L01_SB-70_1.fq.gz	E200013140_L01_SB-70_2.fq.gz
Jackie	31	GV04_CV33	71	1	E200013140_L01_SB-71_1.fq.gz	E200013140_L01_SB-71_2.fq.gz
Jackie	32	GV04_CV48	72	1	E200013140_L01_SB-72_1.fq.gz	E200013140_L01_SB-72_2.fq.gz
Jackie	33	GV04_CV58	88	1	E200013140_L01_SB-88_1.fq.gz	E200013140_L01_SB-88_2.fq.gz

